"","TRANSMITTER","DETECTEDID","DATETIME","X","Y","D","LAT","LON","n","HPE","HPEm","TEMP","DEPTH","ACCEL","DRX","URX","SDx","SDy","DATETIME_formatted"
"25","Jonah35","A69-1602-17084","7/2/2019 19:20",1023.5,921.62,6.4,43.067213,-70.708785,13,2.9,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S14","S01 S02 S09 S10 S11 S14",2.024732046,6.455419845,2019-07-02 19:20:00
"26","Jonah35","A69-1602-17084","7/2/2019 19:33",1022.57,922.74,6.4,43.067224,-70.708797,6,5.1,NA,NA,NA,NA,"S08 S09 S11 S14 S15","S08 S09 S11 S14 S15",4.890255191,19.61112565,2019-07-02 19:33:00
"27","Jonah35","A69-1602-17084","7/2/2019 19:38",1023.75,921.07,6.4,43.067209,-70.708782,8,2.8,NA,NA,NA,NA,"S01 S05 S08 S09 S11","S01 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 19:38:00
"28","Jonah35","A69-1602-17084","7/2/2019 19:40",1022.06,921.91,6.4,43.067216,-70.708803,15,2.8,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S11 S14","S01 S02 S05 S09 S11 S14",2.024732046,6.455419845,2019-07-02 19:40:00
"29","Jonah35","A69-1602-17084","7/2/2019 19:42",1023.62,921.89,6.4,43.067216,-70.708784,13,2.9,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11 S14","S01 S02 S09 S10 S11 S14",2.024732046,6.455419845,2019-07-02 19:42:00
"30","Jonah35","A69-1602-17084","7/2/2019 19:49",1023.41,922.06,6.4,43.067217,-70.708787,17,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S11","S01 S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 19:49:00
"31","Jonah35","A69-1602-17084","7/2/2019 19:55",1024.04,921.03,6.4,43.067208,-70.708779,14,3.1,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S14","S01 S02 S05 S09 S10 S14",4.402625536,16.52141732,2019-07-02 19:55:00
"32","Jonah35","A69-1602-17084","7/2/2019 19:58",1023.95,920.27,6.4,43.067201,-70.70878,9,2.9,NA,NA,NA,NA,"S02 S05 S08 S09 S11","S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 19:58:00
"33","Jonah35","A69-1602-17084","7/2/2019 20:00",1024.59,920.13,6.4,43.0672,-70.708772,13,2.9,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11 S14","S01 S02 S09 S10 S11 S14",2.024732046,6.455419845,2019-07-02 20:00:00
"34","Jonah35","A69-1602-17084","7/2/2019 20:03",1027.34,919.57,6.4,43.067195,-70.708738,1,14.9,NA,NA,NA,NA,"S01 S02 S08","S01 S02 S08",6.330886979,12.57993506,2019-07-02 20:03:00
