id,date,lc,lon,lat,smaj,smin,eor
PS-R254-M-18,2018-12-29T16:40:23Z,B,72.87,-50.95,20819,232,74
PS-R254-M-18,2018-12-29T17:43:53Z,B,72.96,-50.98,9216,455,77
PS-R254-M-18,2018-12-29T17:58:07Z,B,72.98,-50.99,25991,768,83
PS-R254-M-18,2018-12-29T20:38:59Z,A,72.78,-51.1,36694,3375,138
PS-R254-M-18,2018-12-29T22:21:00Z,A,72.79,-51.19,11772,118,105
PS-R254-M-18,2018-12-29T22:44:42Z,B,72.83,-51.2,3870,1883,94
PS-R254-M-18,2018-12-30T02:02:41Z,B,72.91,-51.25,75711,824,89
PS-R254-M-18,2018-12-30T02:14:49Z,B,72.9,-51.28,93706,811,84
PS-R254-M-18,2018-12-30T02:27:43Z,B,72.92,-51.28,25568,1149,86
PS-R254-M-18,2018-12-30T02:27:43Z,B,72.9,-51.28,41397,1137,85
PS-R254-M-18,2018-12-30T03:34:05Z,B,72.94,-51.32,5379,677,88
PS-R254-M-18,2018-12-30T03:48:21Z,B,72.97,-51.36,10834,406,82
PS-R254-M-18,2018-12-30T03:48:21Z,B,72.95,-51.36,7277,404,80
PS-R254-M-18,2018-12-30T04:03:55Z,B,72.94,-51.3,5402,253,91
PS-R254-M-18,2018-12-30T04:03:55Z,B,73.03,-51.3,21282,132,92
PS-R254-M-18,2018-12-30T11:51:04Z,B,72.93,-51.27,24938,1044,85
PS-R254-M-18,2018-12-30T12:30:02Z,B,73.02,-51.35,89655,3311,84
PS-R254-M-18,2018-12-30T13:56:03Z,B,73.02,-51.4,55900,2841,73
PS-R254-M-18,2018-12-30T14:09:03Z,B,72.98,-51.43,10417,1317,80
PS-R254-M-18,2018-12-30T16:19:25Z,B,72.99,-51.41,16555,1286,79
PS-R254-M-18,2018-12-30T16:19:47Z,B,72.94,-51.38,34671,380,84
PS-R254-M-18,2018-12-30T17:31:47Z,B,72.96,-51.42,7430,894,112
PS-R254-M-18,2018-12-30T22:07:50Z,B,73.15,-51.49,17780,143,106
PS-R254-M-18,2018-12-30T22:19:08Z,B,73.2,-51.55,4595,2316,148
PS-R254-M-18,2018-12-30T23:49:54Z,B,73.12,-51.47,13960,534,58
PS-R254-M-18,2018-12-31T00:02:39Z,B,73.26,-51.56,6763,826,118
PS-R254-M-18,2018-12-31T00:02:39Z,B,73.23,-51.63,14585,575,114
PS-R254-M-18,2018-12-31T02:05:29Z,B,73.21,-51.57,28486,2249,74
PS-R254-M-18,2018-12-31T02:05:29Z,B,73.18,-51.53,41139,7896,96
PS-R254-M-18,2018-12-31T03:38:24Z,0,73.16,-51.59,47253,8440,53
PS-R254-M-18,2018-12-31T03:49:32Z,B,73.19,-51.53,23970,2524,83
PS-R254-M-18,2018-12-31T09:46:00Z,B,73.41,-51.63,16096,4645,49
PS-R254-M-18,2018-12-31T12:01:47Z,A,73.36,-51.79,53407,3216,94
PS-R254-M-18,2018-12-31T13:50:54Z,B,73.18,-51.72,73793,3393,80
PS-R254-M-18,2018-12-31T13:50:54Z,B,73.3,-51.72,131705,1394,84
PS-R254-M-18,2018-12-31T14:16:13Z,B,73.18,-51.72,50028,3967,81
PS-R254-M-18,2018-12-31T14:29:30Z,B,73.29,-51.68,24517,1892,94
PS-R254-M-18,2018-12-31T14:42:08Z,B,73.17,-51.72,39548,3637,84
PS-R254-M-18,2018-12-31T17:08:05Z,B,73.31,-51.77,4810,2767,138
PS-R254-M-18,2018-12-31T17:08:05Z,B,73.15,-51.77,15962,2555,75
PS-R254-M-18,2018-12-31T17:40:30Z,B,73.13,-51.8,28945,1004,90
PS-R254-M-18,2018-12-31T19:19:58Z,B,73.09,-51.85,14132,1707,89
PS-R254-M-18,2018-12-31T20:15:51Z,B,73.05,-51.88,8365,1254,87
PS-R254-M-18,2018-12-31T22:01:52Z,B,73.26,-51.87,13383,653,122
PS-R254-M-18,2018-12-31T23:28:08Z,B,73.61,-52.1,12808,4693,75
PS-R254-M-18,2019-01-01T01:06:15Z,B,73.75,-52.18,34303,2084,99
PS-R254-M-18,2019-01-01T03:26:49Z,A,74,-52.26,24697,122,106
PS-R254-M-18,2019-01-01T03:39:13Z,B,73.43,-52.08,2734,163,87
PS-R254-M-18,2019-01-01T04:30:22Z,B,73.93,-52.32,20977,4874,89
PS-R254-M-18,2019-01-01T04:30:43Z,B,73.56,-52.1,2925,363,143
PS-R254-M-18,2019-01-01T05:09:00Z,B,73.58,-52.14,6485,2958,105
PS-R254-M-18,2019-01-01T05:21:27Z,B,73.58,-52.14,1818,986,115
PS-R254-M-18,2019-01-01T10:49:34Z,B,73.61,-52.04,19332,793,96
PS-R254-M-18,2019-01-01T13:24:57Z,B,73.69,-52.13,21172,446,102
PS-R254-M-18,2019-01-01T13:40:00Z,A,73.66,-52.12,56163,439,81
PS-R254-M-18,2019-01-01T14:19:54Z,B,73.67,-52.13,25563,1350,81
PS-R254-M-18,2019-01-01T15:08:46Z,B,73.68,-52.15,25105,1976,82
PS-R254-M-18,2019-01-01T15:34:27Z,B,73.74,-52.17,4044,1021,25
PS-R254-M-18,2019-01-01T15:58:41Z,B,73.74,-52.19,4065,127,76
PS-R254-M-18,2019-01-01T18:57:41Z,0,73.61,-52.25,96813,1900,58
PS-R254-M-18,2019-01-01T23:09:13Z,B,73.82,-52.29,15953,5990,162
PS-R254-M-18,2019-01-01T23:21:57Z,B,73.75,-52.16,27237,6822,111
