id,date,lc,lon,lat,smaj,smin,eor
F02-B-17,2017-10-07T03:01:44.332576Z,G,67.6289165171905,-47.276789768245,,,
F02-B-17,2017-10-07T03:01:45.439953Z,G,67.6288800796505,-47.2766655463795,,,
F02-B-17,2017-10-07T03:28:49.127565Z,G,67.6081784342928,-47.2725531542533,,,
F02-B-17,2017-10-07T03:28:50.230456Z,G,67.6084034912858,-47.2722658124714,,,
F02-B-17,2017-10-07T03:29:53.233102Z,G,67.6080096013447,-47.2723344875504,,,
F02-B-17,2017-10-07T03:29:54.407849Z,G,67.6085747546254,-47.2720810640327,,,
F02-B-17,2017-10-07T03:54:46Z,B,67.5116,-47.2813,28772,13304,74
F02-B-17,2017-10-07T04:19:25.147579Z,G,67.571912665052,-47.2601136616231,,,
F02-B-17,2017-10-07T04:19:26.264240Z,G,67.5719404666871,-47.260259774669,,,
F02-B-17,2017-10-07T04:20:30.695856Z,G,67.5722836478527,-47.2603910901665,,,
F02-B-17,2017-10-07T04:20:34.432116Z,G,67.5722889206516,-47.2600001500307,,,
F02-B-17,2017-10-07T04:44:37.434166Z,G,67.5559629828567,-47.2557263363398,,,
F02-B-17,2017-10-07T04:44:38.567443Z,G,67.5559728356555,-47.2559756784861,,,
F02-B-17,2017-10-07T04:45:44.946172Z,G,67.5565099857868,-47.2559300226411,,,
F02-B-17,2017-10-07T04:45:46.048570Z,G,67.5562267109481,-47.2553579344249,,,
F02-B-17,2017-10-07T05:09:17.476501Z,G,67.5425699980743,-47.2512402921094,,,
F02-B-17,2017-10-07T05:09:18.590003Z,G,67.5425561147989,-47.2511796945812,,,
F02-B-17,2017-10-07T05:10:24.249283Z,G,67.5425621785596,-47.2509146191786,,,
F02-B-17,2017-10-07T05:10:25.347617Z,G,67.5427885327317,-47.2511593791677,,,
F02-B-17,2017-10-07T05:33:53.523323Z,G,67.5289994565905,-47.2479049223237,,,
F02-B-17,2017-10-07T05:33:54.580207Z,G,67.5288982830479,-47.2473424980366,,,
F02-B-17,2017-10-07T05:35:03.700542Z,G,67.5293288290532,-47.2472772520841,,,
F02-B-17,2017-10-07T05:57:16.974531Z,G,67.516949315322,-47.2412949849052,,,
F02-B-17,2017-10-07T05:58:21.042671Z,G,67.5173104147851,-47.2408427801753,,,
F02-B-17,2017-10-07T06:21:12.246268Z,G,67.5063989801109,-47.2349215688588,,,
F02-B-17,2017-10-07T06:46:09.927563Z,G,67.4915371906315,-47.2275698559406,,,
F02-B-17,2017-10-07T06:46:11.060789Z,G,67.4913960338245,-47.227418428283,,,
F02-B-17,2017-10-07T06:47:17.596900Z,G,67.4915706290068,-47.2273621942557,,,
F02-B-17,2017-10-07T07:12:31.788496Z,G,67.4761933612779,-47.2169391614714,,,
F02-B-17,2017-10-07T07:12:34.784758Z,G,67.4763286492439,-47.2171191516989,,,
F02-B-17,2017-10-07T07:13:38.333438Z,G,67.475968638034,-47.2167814491175,,,
F02-B-17,2017-10-07T07:13:46.854444Z,G,67.476210723564,-47.2165451364432,,,
F02-B-17,2017-10-07T07:40:49.512259Z,G,67.4610712573263,-47.2057229415406,,,
F02-B-17,2017-10-07T08:08:23.686408Z,G,67.4418198138503,-47.1943125927939,,,
F02-B-17,2017-10-07T08:08:33.915049Z,G,67.4413457836016,-47.1936581619718,,,
F02-B-17,2017-10-07T08:36:06.562865Z,G,67.4235011007121,-47.182088833839,,,
F02-B-17,2017-10-07T08:36:07.658825Z,G,67.4235666857,-47.1821348650174,,,
F02-B-17,2017-10-07T08:37:19.265578Z,G,67.4236362081136,-47.1823140372723,,,
F02-B-17,2017-10-07T09:04:01.744183Z,G,67.4036950326323,-47.1698733569959,,,
F02-B-17,2017-10-07T09:05:05.663611Z,G,67.4036345264505,-47.17013059464,,,
